postal_code,locality,median_cadastral_income,median_area,median_rooms,median_number_floors,median_bathrooms,median_toilets,median_facades_number,median_primary_energy_consumption
4910,None,786.5,210.0,4.0,2.5,1.0,2.0,3.0,203.0
4920,None,674.0,105.0,2.0,2.0,1.0,1.0,3.0,417.0
4950,None,1274.0,189.0,4.0,2.0,1.0,2.0,4.0,271.0
4960,None,765.0,103.0,3.0,2.0,1.0,1.0,3.0,328.5
4970,None,509.0,139.0,4.0,2.0,1.0,1.0,3.5,363.5
4980,None,408.5,60.0,2.0,1.0,1.0,2.0,3.0,411.0
4987,None,1011.0,304.0,3.5,2.0,1.0,5.0,4.0,411.0
5000,namur,687.5,90.0,2.0,5.0,1.0,1.0,3.0,84.0
5001,None,1139.0,164.0,3.0,1.5,1.0,2.0,3.0,107.0
5002,None,1092.5,79.0,2.5,2.0,1.0,1.0,2.0,361.0
5003,None,699.0,136.0,3.0,2.0,1.0,2.0,4.0,27.0
5004,None,878.0,136.0,3.0,2.5,1.0,1.0,3.0,288.5
5020,None,969.0,177.0,3.0,3.0,1.0,2.0,3.0,293.0
